CRIME,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_HOUR,PREMISES_TYPE,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,OCC_DATETIME
robbery,2015,January,14,Wednesday,18,Outside,118,Tam O'Shanter-Sullivan (118),-79.2983731547879,43.7743774188225,2015-01-14 18:00:00
robbery,2015,January,14,Wednesday,20,Outside,131,Rouge (131),-79.1810002323823,43.8075838265723,2015-01-14 20:00:00
robbery,2015,January,14,Wednesday,22,Outside,22,Humbermede (22),-79.5421282157603,43.7508415742286,2015-01-14 22:00:00
robbery,2015,January,14,Wednesday,16,House,110,Keelesdale-Eglinton West (110),-79.4712405782116,43.6872478661748,2015-01-14 16:00:00
robbery,2015,January,14,Wednesday,15,Outside,110,Keelesdale-Eglinton West (110),-79.4726488787815,43.6859491388976,2015-01-14 15:00:00
robbery,2015,January,15,Thursday,12,Commercial,103,Lawrence Park South (103),-79.4120716451471,43.7038389781626,2015-01-15 12:00:00
robbery,2015,January,15,Thursday,14,Educational,26,Downsview-Roding-CFB (26),-79.4797023725029,43.7297095433908,2015-01-15 14:00:00
robbery,2015,January,15,Thursday,15,Outside,47,Don Valley Village (47),-79.3496692169711,43.7917689784981,2015-01-15 15:00:00
robbery,2015,January,15,Thursday,17,Commercial,136,West Hill (136),-79.1868624020944,43.7706065515387,2015-01-15 17:00:00
robbery,2015,January,15,Thursday,20,Apartment,5,Elms-Old Rexdale (5),-79.5450137125464,43.7226805480964,2015-01-15 20:00:00
robbery,2015,January,15,Thursday,21,Outside,117,L'Amoreaux (117),-79.3264914347196,43.7964851801138,2015-01-15 21:00:00
robbery,2015,January,15,Thursday,21,Outside,129,Agincourt North (129),-79.2850403071804,43.811178417298,2015-01-15 21:00:00
robbery,2015,January,15,Thursday,20,Educational,48,Hillcrest Village (48),-79.3605714878272,43.8055322458577,2015-01-15 20:00:00
robbery,2015,January,15,Thursday,18,Commercial,107,Oakwood Village (107),-79.445205292817,43.6967813033918,2015-01-15 18:00:00
robbery,2015,January,15,Thursday,17,Commercial,136,West Hill (136),-79.1868624020944,43.7706065515387,2015-01-15 17:00:00
robbery,2015,January,8,Thursday,1,Apartment,75,Church-Yonge Corridor (75),-79.3765635722015,43.6620453863508,2015-01-08 01:00:00
robbery,2015,January,8,Thursday,1,Apartment,75,Church-Yonge Corridor (75),-79.3765635722015,43.6620453863508,2015-01-08 01:00:00
robbery,2015,January,16,Friday,8,Outside,75,Church-Yonge Corridor (75),-79.3780045032177,43.6621310150676,2015-01-16 08:00:00
robbery,2015,January,16,Friday,15,Outside,127,Bendale (127),-79.265049081818,43.7515155620067,2015-01-16 15:00:00
robbery,2015,January,16,Friday,13,Outside,67,Playter Estates-Danforth (67),-79.3563671196913,43.6766806163529,2015-01-16 13:00:00
robbery,2015,January,16,Friday,14,Outside,6,Kingsview Village-The Westway (6),-79.5586453458652,43.6942434437091,2015-01-16 14:00:00
robbery,2015,January,16,Friday,17,Outside,NSA,NSA,-79.6359178979703,43.64696515162,2015-01-16 17:00:00
robbery,2015,January,16,Friday,14,Outside,120,Clairlea-Birchmount (120),-79.2803065477941,43.7168419026789,2015-01-16 14:00:00
