CRIME,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_HOUR,PREMISES_TYPE,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,OCC_TIMESTAMP
shooting,2015,June,27,Saturday,13,N/A,121,Oakridge (121),-79.2803634507735,43.6996535229792,2015-06-27 13:00:00-0500
shooting,2015,October,27,Tuesday,13,N/A,89,Runnymede-Bloor West Village (89),-79.4854890167492,43.6645243013982,2015-10-27 13:00:00-0500
shooting,2015,March,19,Thursday,23,N/A,131,Rouge (131),-79.2110157284532,43.8179017038239,2015-03-19 23:00:00-0500
shooting,2015,September,4,Friday,2,N/A,131,Rouge (131),-79.1997684542596,43.8019684652109,2015-09-04 02:00:00-0500
shooting,2015,September,6,Sunday,0,N/A,138,Eglinton East (138),-79.242413472777,43.7398001766239,2015-09-06 00:00:00-0500
shooting,2015,April,29,Wednesday,0,N/A,132,Malvern (132),-79.2282166264405,43.7999873664808,2015-04-29 00:00:00-0500
shooting,2015,October,1,Thursday,9,N/A,3,Thistletown-Beaumond Heights (3),-79.5755223636064,43.7361079820649,2015-10-01 09:00:00-0500
shooting,2015,August,4,Tuesday,9,N/A,111,Rockcliffe-Smythe (111),-79.4795509799101,43.6820676085874,2015-08-04 09:00:00-0500
shooting,2015,January,29,Thursday,13,N/A,73,Moss Park (73),-79.3650224391403,43.6524430881109,2015-01-29 13:00:00-0500
shooting,2015,June,27,Saturday,3,N/A,123,Cliffcrest (123),-79.2267906694501,43.7300167417828,2015-06-27 03:00:00-0500
shooting,2015,July,12,Sunday,12,N/A,136,West Hill (136),-79.1836070532584,43.761906010366,2015-07-12 12:00:00-0500
shooting,2015,January,15,Thursday,10,N/A,85,South Parkdale (85),-79.4281255059228,43.6359750600625,2015-01-15 10:00:00-0500
shooting,2015,May,24,Sunday,13,N/A,24,Black Creek (24),-79.5161786979242,43.7598340495082,2015-05-24 13:00:00-0500
shooting,2015,December,15,Tuesday,16,N/A,21,Humber Summit (21),-79.5720736388945,43.7559688035125,2015-12-15 16:00:00-0500
shooting,2015,September,26,Saturday,20,N/A,6,Kingsview Village-The Westway (6),-79.5555317810812,43.6925650485191,2015-09-26 20:00:00-0500
shooting,2015,January,20,Tuesday,18,N/A,2,Mount Olive-Silverstone-Jamestown (2),-79.5826067163611,43.7339637636772,2015-01-20 18:00:00-0500
shooting,2015,May,12,Tuesday,0,N/A,45,Parkwoods-Donalda (45),-79.3366937110526,43.7626705571792,2015-05-12 00:00:00-0500
shooting,2015,February,28,Saturday,2,N/A,64,Woodbine Corridor (64),-79.3208879624595,43.683938226975,2015-02-28 02:00:00-0500
shooting,2015,October,22,Thursday,16,N/A,25,Glenfield-Jane Heights (25),-79.5087536005565,43.7471213494083,2015-10-22 16:00:00-0500
shooting,2015,October,26,Monday,12,N/A,121,Oakridge (121),-79.2872736740541,43.6946450325789,2015-10-26 12:00:00-0500
shooting,2015,June,27,Saturday,0,N/A,132,Malvern (132),-79.2321779825205,43.7952077776766,2015-06-27 00:00:00-0500
shooting,2015,August,9,Sunday,2,N/A,76,Bay Street Corridor (76),-79.3816311771376,43.6544211169732,2015-08-09 02:00:00-0500
shooting,2015,October,19,Monday,15,N/A,65,Greenwood-Coxwell (65),-79.3212710877636,43.6680803874107,2015-10-19 15:00:00-0500
shooting,2015,May,24,Sunday,2,N/A,25,Glenfield-Jane Heights (25),-79.5092992016922,43.7383048438255,2015-05-24 02:00:00-0500
shooting,2015,September,6,Sunday,0,N/A,121,Oakridge (121),-79.2736473413804,43.6943591642128,2015-09-06 00:00:00-0500
shooting,2015,August,8,Saturday,0,N/A,80,Palmerston-Little Italy (80),-79.4190284188494,43.6551509574509,2015-08-08 00:00:00-0500
shooting,2015,June,1,Monday,17,N/A,137,Woburn (137),-79.2236598387172,43.7616196807259,2015-06-01 17:00:00-0500
shooting,2015,April,3,Friday,3,N/A,11,Eringate-Centennial-West Deane (11),-79.5644992524586,43.6593512883198,2015-04-03 03:00:00-0500
shooting,2015,May,19,Tuesday,3,N/A,66,Danforth (66),-79.3247648578812,43.6831108719245,2015-05-19 03:00:00-0500
