,date,policy_rate
444,2021-08-10,0.5
445,2021-08-09,0.5
446,2021-08-06,0.5
447,2021-08-05,0.5
448,2021-08-04,0.5
449,2021-08-03,0.5
450,2021-08-02,0.5
451,2021-07-30,0.5
452,2021-07-29,0.5
453,2021-07-28,0.5
454,2021-07-27,0.5
455,2021-07-26,0.5
456,2021-07-23,0.5
457,2021-07-22,0.5
458,2021-07-21,0.5
459,2021-07-20,0.5
460,2021-07-19,0.5
461,2021-07-16,0.5
462,2021-07-15,0.5
463,2021-07-14,0.5
464,2021-07-13,0.5
465,2021-07-12,0.5
466,2021-07-09,0.5
467,2021-07-08,0.5
468,2021-07-07,0.5
469,2021-07-06,0.5
470,2021-07-05,0.5
471,2021-07-02,0.5
472,2021-07-01,0.5
473,2021-06-30,0.5
474,2021-06-29,0.5
475,2021-06-28,0.5
476,2021-06-25,0.5
477,2021-06-24,0.5
478,2021-06-23,0.5
479,2021-06-22,0.5
480,2021-06-21,0.5
481,2021-06-18,0.5
482,2021-06-17,0.5
483,2021-06-16,0.5
484,2021-06-15,0.5
485,2021-06-14,0.5
486,2021-06-11,0.5
487,2021-06-10,0.5
488,2021-06-09,0.5
489,2021-06-08,0.5
490,2021-06-07,0.5
491,2021-06-04,0.5
492,2021-06-03,0.5
493,2021-06-02,0.5
494,2021-06-01,0.5
495,2021-05-31,0.5
496,2021-05-28,0.5
497,2021-05-27,0.5
498,2021-05-26,0.5
499,2021-05-25,0.5
500,2021-05-24,0.5
501,2021-05-21,0.5
502,2021-05-20,0.5
503,2021-05-19,0.5
504,2021-05-18,0.5
505,2021-05-17,0.5
506,2021-05-14,0.5
507,2021-05-13,0.5
508,2021-05-12,0.5
509,2021-05-11,0.5
510,2021-05-10,0.5
511,2021-05-07,0.5
512,2021-05-06,0.5
513,2021-05-05,0.5
514,2021-05-04,0.5
515,2021-05-03,0.5
516,2021-04-30,0.5
517,2021-04-29,0.5
518,2021-04-28,0.5
519,2021-04-27,0.5
520,2021-04-26,0.5
521,2021-04-23,0.5
522,2021-04-22,0.5
523,2021-04-21,0.5
524,2021-04-20,0.5
525,2021-04-19,0.5
526,2021-04-16,0.5
527,2021-04-15,0.5
528,2021-04-14,0.5
529,2021-04-13,0.5
530,2021-04-12,0.5
531,2021-04-09,0.5
532,2021-04-08,0.5
533,2021-04-07,0.5
534,2021-04-06,0.5
535,2021-04-05,0.5
536,2021-04-02,0.5
537,2021-04-01,0.5
538,2021-03-31,0.5
539,2021-03-30,0.5
540,2021-03-29,0.5
541,2021-03-26,0.5
542,2021-03-25,0.5
543,2021-03-24,0.5
544,2021-03-23,0.5
545,2021-03-22,0.5
546,2021-03-19,0.5
547,2021-03-18,0.5
548,2021-03-17,0.5
549,2021-03-16,0.5
550,2021-03-15,0.5
551,2021-03-12,0.5
552,2021-03-11,0.5
553,2021-03-10,0.5
554,2021-03-09,0.5
555,2021-03-08,0.5
556,2021-03-05,0.5
557,2021-03-04,0.5
558,2021-03-03,0.5
559,2021-03-02,0.5
560,2021-03-01,0.5
561,2021-02-26,0.5
562,2021-02-25,0.5
563,2021-02-24,0.5
564,2021-02-23,0.5
565,2021-02-22,0.5
566,2021-02-19,0.5
567,2021-02-18,0.5
568,2021-02-17,0.5
569,2021-02-16,0.5
570,2021-02-15,0.5
571,2021-02-12,0.5
572,2021-02-11,0.5
573,2021-02-10,0.5
574,2021-02-09,0.5
575,2021-02-08,0.5
576,2021-02-05,0.5
577,2021-02-04,0.5
578,2021-02-03,0.5
579,2021-02-02,0.5
580,2021-02-01,0.5
581,2021-01-29,0.5
582,2021-01-28,0.5
583,2021-01-27,0.5
584,2021-01-26,0.5
585,2021-01-25,0.5
586,2021-01-22,0.5
587,2021-01-21,0.5
588,2021-01-20,0.5
589,2021-01-19,0.5
590,2021-01-18,0.5
591,2021-01-15,0.5
592,2021-01-14,0.5
593,2021-01-13,0.5
594,2021-01-12,0.5
595,2021-01-11,0.5
596,2021-01-08,0.5
597,2021-01-07,0.5
598,2021-01-06,0.5
599,2021-01-05,0.5
600,2021-01-04,0.5
601,2021-01-01,0.5
602,2020-12-31,0.5
603,2020-12-30,0.5
604,2020-12-29,0.5
605,2020-12-28,0.5
606,2020-12-25,0.5
607,2020-12-24,0.5
608,2020-12-23,0.5
609,2020-12-22,0.5
610,2020-12-21,0.5
611,2020-12-18,0.5
612,2020-12-17,0.5
613,2020-12-16,0.5
614,2020-12-15,0.5
615,2020-12-14,0.5
616,2020-12-11,0.5
617,2020-12-10,0.5
618,2020-12-09,0.5
619,2020-12-08,0.5
620,2020-12-07,0.5
621,2020-12-04,0.5
622,2020-12-03,0.5
623,2020-12-02,0.5
624,2020-12-01,0.5
625,2020-11-30,0.5
626,2020-11-27,0.5
627,2020-11-26,0.5
628,2020-11-25,0.5
629,2020-11-24,0.5
630,2020-11-23,0.5
631,2020-11-20,0.5
632,2020-11-19,0.5
633,2020-11-18,0.5
634,2020-11-17,0.5
635,2020-11-16,0.5
636,2020-11-13,0.5
637,2020-11-12,0.5
638,2020-11-11,0.5
639,2020-11-10,0.5
640,2020-11-09,0.5
641,2020-11-06,0.5
642,2020-11-05,0.5
643,2020-11-04,0.5
644,2020-11-03,0.5
645,2020-11-02,0.5
646,2020-10-30,0.5
647,2020-10-29,0.5
648,2020-10-28,0.5
649,2020-10-27,0.5
650,2020-10-26,0.5
651,2020-10-23,0.5
652,2020-10-22,0.5
653,2020-10-21,0.5
654,2020-10-20,0.5
655,2020-10-19,0.5
656,2020-10-16,0.5
657,2020-10-15,0.5
658,2020-10-14,0.5
659,2020-10-13,0.5
660,2020-10-12,0.5
661,2020-10-09,0.5
662,2020-10-08,0.5
663,2020-10-07,0.5
664,2020-10-06,0.5
665,2020-10-05,0.5
666,2020-10-02,0.5
